ID_ZONA,NOMBRE_ZONA,AREA_KM2,POBLACION_KM2,PORCENTAJE_HISPANOS,EDAD_MEDIANA,INGRESO_MEDIANO_HOGAR,TASA_OCUPACION,TAMANO_HOGAR_PROMEDIO,MOV_CANTIDAD_ESTACIONES,ALQ_PRECIO_PIE2_ANUAL,DELITO_PROPIEDAD_KM2,DELITO_TRANSPORTE_KM2,DELITO_OTROS_KM2,COMPETENCIA_DIRECTA_KM2,COMPETENCIA_INDIRECTA_KM2,LUGARES_COMERCIO_KM2,LUGARES_OFICINAS_KM2,LUGARES_RESIDENCIAL_KM2,MOVILIDAD_PROMEDIO_DIARIA
MN0101,Financial District-Battery Park City,19.2268,2528.14,3.37,34.3,198961.0,83.1,1.99,10.0,91.91,4.06,1.46,3.8,1.25,15.86,6.35,1.92,0.31,71700
MN0102,Tribeca-Civic Center,13.5782,1712.82,3.75,36.8,185902.0,81.41,2.2,6.0,122.72,5.67,0.96,8.54,0.81,11.05,2.06,3.09,0.07,52278
MN0201,SoHo-Little Italy-Hudson Square,12.9168,1716.14,4.4,39.3,132900.0,82.01,1.78,6.0,190.54,8.98,0.46,6.81,0.93,21.29,3.1,1.16,0.0,48016
MN0202,Greenwich Village,10.6005,2973.16,3.18,35.7,174062.0,78.61,1.74,4.0,99.03,7.55,1.51,8.77,1.42,22.83,3.58,8.87,0.09,28664
MN0203,West Village,14.4169,2255.55,7.27,39.7,168629.0,80.94,1.68,3.0,220.81,7.01,1.18,5.13,1.25,19.77,2.29,1.04,0.0,18305
MN0302,Lower East Side,16.4732,2798.91,26.06,42.2,58841.0,90.54,2.05,3.0,107.9,4.37,0.55,12.81,0.85,13.23,3.1,1.46,4.8,29110
MN0303,East Village,18.9848,3603.51,17.44,33.9,76136.0,91.01,1.83,2.0,127.58,7.06,0.21,7.69,1.69,22.49,4.37,2.21,3.9,20463
MN0401,Chelsea-Hudson Yards,29.6718,2085.41,9.7,39.2,126272.0,83.9,1.67,6.0,63.64,7.55,0.57,6.34,0.81,11.93,2.33,1.01,0.88,60403
MN0402,Hell's Kitchen,18.3823,3004.03,11.87,39.1,105839.0,87.46,1.61,2.0,126.14,7.4,2.39,15.34,1.96,17.41,2.67,1.69,0.49,11889
MN0501,Midtown South-Flatiron-Union Square,14.879,1994.09,5.03,35.2,182280.0,82.85,1.65,9.0,68.5,17.14,2.42,12.84,1.75,33.27,3.63,2.49,0.0,111626
MN0502,Midtown-Times Square,24.5525,893.96,4.87,42.8,148446.0,67.98,1.61,10.0,199.67,17.51,1.67,12.91,2.16,36.13,9.33,2.12,0.29,135844
MN0601,Stuyvesant Town-Peter Cooper Village,5.5756,3939.13,4.99,39.6,160855.0,92.47,2.05,0.0,140.0,3.23,0.18,4.48,0.18,0.72,0.72,0.0,10.22,0
MN0602,Gramercy,7.526,3524.18,3.2,35.2,153720.0,78.79,1.71,2.0,138.33,7.44,0.53,7.31,1.73,19.67,2.92,4.92,0.0,13872
MN0603,Murray Hill-Kips Bay,15.7712,3481.35,5.15,34.3,141463.0,82.93,1.7,0.0,190.0,6.09,1.01,7.61,0.57,11.03,3.42,6.72,1.14,0
MN0604,East Midtown-Turtle Bay,13.1381,3194.45,4.1,45.6,170196.0,73.04,1.78,2.0,220.0,5.18,1.29,3.43,1.29,23.98,4.11,9.67,0.46,35825
MN0701,Upper West Side-Lincoln Square,15.7974,4317.93,5.84,43.2,164712.0,80.1,1.81,3.0,110.0,5.51,0.38,5.19,0.32,6.9,4.18,2.98,1.77,44699
MN0702,Upper West Side (Central),25.4107,3901.03,7.69,44.9,159333.0,81.0,2.03,3.0,101.77,4.09,0.24,4.76,0.59,6.61,1.97,1.97,2.79,32167
MN0703,Upper West Side-Manhattan Valley,13.2005,3895.38,18.91,40.5,100165.0,88.57,2.14,3.0,165.0,6.89,0.38,7.27,0.76,5.98,2.27,1.21,2.42,15011
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,21.501,3688.01,3.73,37.9,137355.0,77.43,1.87,4.0,184.09,3.16,0.05,3.44,0.84,8.09,1.81,3.53,0.37,24099
MN0802,Upper East Side-Carnegie Hill,20.0654,2694.29,3.98,50.0,171961.0,70.43,2.01,6.0,200.0,6.88,0.4,3.14,0.2,10.12,1.99,3.44,0.3,72749
MN0803,Upper East Side-Yorkville,13.645,5786.0,5.98,42.2,147475.0,85.55,1.84,1.0,170.0,4.91,0.15,5.5,0.95,9.31,1.39,1.61,0.51,10641
MN0901,Morningside Heights,15.9228,2385.51,12.43,28.1,87452.0,85.07,2.12,3.0,76.36,1.82,0.31,5.02,0.31,3.64,1.51,5.84,1.13,25722
MN0902,Manhattanville-West Harlem,10.7348,2073.63,44.57,34.5,46819.0,90.95,2.58,2.0,55.36,2.79,0.19,11.74,0.65,2.24,1.86,3.35,1.4,8040
MN0903,Hamilton Heights-Sugar Hill,15.9836,3286.49,38.07,38.0,68527.0,91.2,2.62,3.0,95.0,3.69,0.31,10.2,0.94,4.13,3.32,0.56,0.06,15298
MN1001,Harlem (South),14.4264,3382.9,13.45,38.3,74007.0,87.75,2.25,5.0,70.0,5.68,1.39,15.74,0.55,3.6,2.01,2.43,1.39,21680
MN1002,Harlem (North),23.7929,3618.31,21.1,38.1,51386.0,91.05,2.26,4.0,110.0,5.55,0.21,20.3,0.17,2.14,2.1,1.47,4.54,8092
MN1101,East Harlem (South),16.6539,3519.12,33.05,37.8,42076.0,89.23,2.14,3.0,240.67,5.94,0.42,19.7,1.44,4.44,1.74,2.76,5.4,18209
MN1102,East Harlem (North),26.1193,2432.15,34.43,36.6,39957.0,90.91,2.19,2.0,100.0,5.44,0.5,16.85,1.23,2.95,2.22,1.65,3.45,17416
MN1201,Washington Heights (South),21.0277,3557.88,56.06,38.4,56929.0,92.39,2.63,4.0,124.13,4.38,0.29,13.17,1.71,3.28,1.47,1.66,1.05,19681
MN1202,Washington Heights (North),24.7735,3049.79,49.97,40.0,78465.0,93.98,2.53,6.0,95.0,3.75,0.04,8.52,1.53,2.58,2.42,1.37,0.0,18190
MN1203,Inwood,14.4369,2646.62,60.79,38.5,68523.0,93.25,2.51,4.0,49.27,3.12,0.35,10.74,2.84,3.05,1.66,1.59,1.32,8677
